PlotID,PlotName,Area,Side,HistoricalName,Location,Thaw Stage,StageNum,Year,Stage.Year,Treatment,Replicate,WardCluster,ClustNum,MaxThaw,IceChange17to19,IceHistAVG,IceChangeHistTo19,Soil.moisture.mV,Soil.temp.C,JulyPeakMeth.umol/m2/min,Cum.CH4.umol,Cum.CH4.mol,Cum.CH4.gC,JulyNEE,Cum.NEE.umol,Cum.NEE.mol,Cum.NEE.gC,JulyER,PeakER,GPP,Cum.ER.umol.day,Richness,Closs.umol.m2,Closs.mol.m2,Closs.gC.m2,Graminoids,Ericoids,Sphagna
AM-CH1-17,AMCH1,AM,BOG,NA,AMBg,3-Advanced,4,2017,3-Advanced2017,CH,1,D,2,70,0,NA,NA,865,11.4,6.430016969,708330.6693,0.708330669,8.50754717,0.963653171,-43.32336129,-4.33234E-05,-0.000520344,7.174170353,4.712764496,6.210517182,519082.5625,17,708287.3459,0.708287346,8.507026826,35,41,100
AM-CH1-18,AMCH1,AM,BOG,NA,AMBg,3-Advanced,4,2018,3-Advanced2018,CH,1,D,2,100,30,NA,NA,277,9.6,3.802477997,628795.1381,0.628795138,7.552269765,-2.307859805,-131.5706898,-0.000131571,-0.001580256,7.786640612,3.535755405,10.09450042,446356.968,10,628663.5674,0.628663567,7.550689509,20,32,75
AM-CH1-19,AMCH1,AM,BOG,NA,AMBg,3-Advanced,4,2019,3-Advanced2019,CH,1,B,4,114,44,NA,NA,1136,11.9,9.799648833,1119494.442,1.119494442,13.44591189,1.97003485,-89.93218252,-8.99322E-05,-0.001080148,4.345034114,3.621275473,2.374999264,472299.8954,12,1119404.51,1.11940451,13.44483175,32,32,71
AM-CH2-17,AMCH2,AM,FST,NA,AMFs,2-Intermediate,3,2017,2-Intermediate2017,CH,2,A,1,93,0,NA,NA,418,17.9,5.579717186,605899.3207,0.605899321,7.277274971,2.488178898,-227.4187648,-0.000227419,-0.002731459,6.606144524,5.014537452,4.117965626,586691.0096,8,605671.9019,0.605671902,7.274543513,20,30,100
AM-CH2-18,AMCH2,AM,FST,NA,AMFs,2-Intermediate,3,2018,2-Intermediate2018,CH,2,A,1,104,11,NA,NA,657,16.8,7.743956323,693294.0434,0.693294043,8.326946767,-2.272812534,-372.8219293,-0.000372822,-0.004477852,3.850353416,4.578367375,6.851179909,539195.8754,8,692921.2215,0.692921221,8.322468915,60,25,95
AM-CH2-19,AMCH2,AM,FST,NA,AMFs,2-Intermediate,3,2019,2-Intermediate2019,CH,2,A,1,120,27,NA,NA,782,13.9,6.964809373,810415.5344,0.810415534,9.733657859,0.883319928,-204.5914162,-0.000204591,-0.002457286,3.912055525,6.26979711,5.386477182,742971.6788,13,810210.943,0.810210943,9.731200573,95,26,101
AM-CH3-17,AMCH3,AM,BOG,NA,AMBg,3-Advanced,4,2017,3-Advanced2017,CH,3,B,4,120,0,NA,NA,40.7,7.5,18.57931026,1489982.82,1.48998282,17.89573666,-2.702363228,-178.1449212,-0.000178145,-0.002139645,2.347517003,3.534159661,6.236522889,489875.8907,8,1489804.675,1.489804675,17.89359701,21,1,100
AM-CH3-18,AMCH3,AM,BOG,NA,AMBg,3-Advanced,4,2018,3-Advanced2018,CH,3,B,4,120,0,NA,NA,434,14,14.31215198,1532133.172,1.532133172,18.40199189,0.995644418,-294.7073259,-0.000294707,-0.003539641,4.344103024,4.006736346,3.348458606,436519.8344,14,1531838.465,1.531838465,18.39845225,70,1,100
AM-CH3-19,AMCH3,AM,BOG,NA,AMBg,3-Advanced,4,2019,3-Advanced2019,CH,3,B,4,120,0,NA,NA,1148,4.9,17.1241711,1745130.721,1.745130721,20.96024155,-1.528782032,-50.66578505,-5.06658E-05,-0.000608532,4.824525691,4.461076671,6.353307723,505324.0296,6,1745080.055,1.745080055,20.95963302,75,2,51
AM-JA1-17,AMJA1,AM,FST,NA,AMFs,2-Intermediate,3,2017,2-Intermediate2017,JA,1,D,2,75,0,NA,NA,312,7.3,1.59502551,240967.5842,0.240967584,2.894189364,2.18274164,111.0318509,0.000111032,0.00133357,6.74757474,4.345034114,4.5648331,601408.1965,10,241078.6161,0.241078616,2.895522934,5,22,25
