Plot.Year,AUPA,BEGL,CAAQ,CACA,CACH,CAGI,CAST1,CAST2,CHCA,CLAM,CLCE,CLCR,CLEC,CLGR,CLMI,CLPY,DIUN,DRRO,EQSC,ERCH,ERVA,FLCU,HYSP,LALA,LEDE,LEGR,METR,MYAN,OXMI,PEAP,PELA,PENE,PESC,PEVE,PIMA,PLSC,POST,PTCR,RHPS,RUCH,SAPE,SPAN,SPCA,SPFU,SPGI,SPMA,SPRI,SPSQ,SPUNK1,SPUNK2,SPUNK3,SPWA,TONI,UNK1,UNK2,UNK3,UNK4,UNK5,UNKGR,UNKSH,VAUL,VAVI
AM-CH1-17,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,0,0,0,0,10,10,0,0,5,0,0,0,0,0,0,0,0,0,0,1
AM-CH1-18,1,0,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AM-CH1-19,5,0,1,1,25,0,0,0,25,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,50,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
AM-CH2-17,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AM-CH2-18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
AM-CH2-19,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,10,80,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
AM-CH3-17,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-CH3-18,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-CH3-19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-JA1-17,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,1,0,0,0,10,0,0,0,0,0,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,5,1,0,0,0,1
AM-JA1-18,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
AM-JA1-19,4,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,85,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
AM-JA2-17,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
AM-JA2-18,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
AM-JA2-19,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0
AM-JA3-17,0,0,5,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-JA3-18,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM-JA3-19,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-SA1-17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,25,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,30,0,1,1,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,20
AM-SA1-18,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,70,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2.5,0,2.5,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
AM-SA1-19,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,95,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AM-SA2-17,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,70,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0
AM-SA2-18,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,1,5,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AM-SA2-19,10,0,0,5,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,1,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
AM-SA3-17,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,20,0,0,0,0,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-SA3-18,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,15,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM-SA3-19,1,0,1,0,5,0,0,0,15,0,0,0,0,0,0,0,1,1,0,15,0,0,0,0,1,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
